,Factory,Ulke,Sehir,Tarih,Kurulus_tarihi,Veri_analistci_tecrubesi,Isci_sayisi,Isci__memnuniyeti,Aylik_uretim_miktari,Uretim_hizi,Gunluk_uretilen_miktar,Gunluk_calisma_suresi,Max_uretilen_urun,Fabrika_sayisi,Yonetici_sayisi,Kapasite_durumu,Lojistik,Lojistik_tur_sayisi,Kullanilan_makina,Uretim_cesidi,Fabrika_depo_sayisi,Ham_madde_cesidi,Kesikli_uretim,Surekli_uretim,Esnek_uretim,Ceo_degisimi,Toplam_uretilmis_urun,Populerite,Malzeme_kalitesi,Urunbasi_ortalama_maliyet,Urunbasi_ortalama_kar,Max_fiyat,Min_fiyat,Max_kar,Max_zarar,Aylik_toplanti,Vardiya,Calisanlara_mesai,Mola_suresi,Urun_hata_orani,Satislarin_dusme_orani,Ortaklarla_uyum,Tedarikci_zorluk_yasanmasi,Calisan_tecrubesi,Ustabasilarinin_ise_önemvermesi,Patronlarin_donanimi,Kasada_acik_cikmasi,Malzeme_kaybi,Dogal_afetler,Tehcizat_pahaliligi,Makine_pahaliligi,Reklam_yetersizligi,Musteriye_hitap,Ithalat_ihracat_sorunlari,Globallesme_orani,Maaslarda_kesinti_orani,Sosyal_medyayi_kullanma,Yanlis_marka_ismi,Pazar_payi,Is_sagligi_orani,Musteri_hizmetlerinin_ilgisi,Yanlis_strateji,Sermayenin_tukenmesi,Vergi_usulsuzlugu,Is_yerindetorpil,Ortaklik_sorunlari,Dunya_ekonomisi_cokusleri,Yazilim_gelistirmeleri,Calisma_veduzenli_uretim,Muhasebeci_tecrubesi,Devam_durumu
465,Factory466,Turkiye,Adana,12.05.2020,1988,2,3259,5,330000,4,5000,9,298000,20,10,340000,YES,3,13,18,2,5,YES,YES,YES,3,10000000,4,2,511,611,370,270,70,42,6,3,4,45DK,2,2,2,3,5,4,2,NO,NO,NO,3,4,YES,4,YES,2,0,YES,NO,3,4,2,NO,NO,NO,NO,NO,NO,4,NO,4,Isliyor
466,Factory467,Turkiye,Istanbul,12.05.2020,1999,2,1658,5,230000,3,5500,8,398000,14,12,390000,YES,3,16,14,1,4,YES,YES,YES,3,15000000,4,1,523,623,359,250,50,38,7,3,2,45DK,1,2,4,3,1,2,4,YES,NO,YES,2,3,NO,5,YES,3,0,YES,NO,4,5,2,NO,NO,NO,NO,NO,YES,5,NO,5,Isliyor
467,Factory468,Turkiye,Giresun,12.05.2020,1976,4,2115,3,540000,3,4500,8,488000,10,14,510000,YES,3,17,16,16,6,YES,YES,YES,3,18000000,4,3,543,643,355,252,52,12,8,3,3,45DK,2,2,3,4,3,3,3,YES,NO,YES,3,2,NO,4,NO,5,0,YES,NO,5,4,3,NO,NO,NO,NO,NO,YES,4,NO,4,Isliyor
468,Factory469,Turkiye,Sakarya,12.05.2020,2003,2,3256,2,570000,3,12320,8,237000,11,15,800000,YES,3,22,27,5,8,YES,YES,YES,2,12000000,3,4,543,643,342,263,63,33,4,3,4,1SAAT,2,2,2,2,4,3,2,NO,NO,NO,4,4,NO,5,YES,4,0,NO,YES,4,3,4,NO,NO,NO,NO,NO,YES,3,YES,3,Isliyor
469,Factory470,Turkiye,Ankara,12.05.2020,1967,3,1897,2,240000,2,13450,8,360000,13,9,300000,YES,1,26,18,4,4,YES,YES,YES,1,11000000,3,5,567,667,388,233,33,28,3,3,2,1SAAT,2,1,5,3,5,2,5,YES,NO,YES,3,5,YES,3,YES,2,1,NO,NO,3,4,5,NO,NO,NO,NO,YES,NO,4,YES,4,Isliyor
470,Factory471,Turkiye,Trabzon,12.05.2020,2005,2,2652,2,160000,3,12000,8,420000,14,7,340000,YES,3,23,27,3,6,YES,YES,YES,4,24000000,5,2,587,687,410,320,120,15,2,3,2,1SAAT,2,2,4,3,2,1,4,NO,NO,NO,2,4,YES,4,YES,3,3,NO,YES,4,5,4,NO,NO,NO,NO,YES,NO,5,YES,5,Isliyor
471,Factory472,Turkiye,Rize,12.05.2020,2010,3,2258,2,115000,3,14000,8,310000,8,10,420000,YES,3,24,32,6,3,YES,YES,YES,5,12300000,5,4,569,669,415,325,125,22,4,3,2,45DK,1,1,3,2,1,1,3,NO,NO,NO,3,3,YES,5,NO,4,4,YES,NO,5,4,5,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
472,Factory473,Turkiye,Gumushane,12.05.2020,1956,5,3456,2,125000,3,11000,8,189000,12,12,520000,YES,3,25,31,10,8,YES,YES,YES,2,12400000,4,5,568,668,420,330,130,42,5,3,2,45DK,2,2,5,1,5,1,5,NO,NO,NO,4,2,NO,4,NO,3,2,YES,NO,4,5,4,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
473,Factory474,Turkiye,Malatya,12.05.2020,1976,4,2700,4,390000,5,17000,8,348700,11,14,345000,YES,3,29,23,11,5,YES,YES,YES,3,20000000,1,1,455,555,408,302,102,50,7,3,2,1SAAT,1,3,4,1,4,1,4,NO,NO,NO,3,3,NO,5,NO,5,0,YES,YES,5,4,5,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
474,Factory475,Turkiye,Hatay,12.05.2020,1986,5,2010,3,376000,4,12000,8,465000,15,9,430000,YES,3,21,36,5,3,NO,YES,YES,6,20000000,4,3,467,567,356,264,64,38,8,3,2,1SAAT,2,2,3,1,3,2,3,YES,NO,YES,2,4,NO,5,YES,3,0,NO,NO,4,5,4,NO,NO,NO,NO,YES,NO,5,YES,5,Isliyor
475,Factory476,Turkiye,Kocaeli,12.05.2020,1989,2,4002,2,346000,1,9000,8,276000,10,15,700000,YES,3,14,43,6,4,NO,YES,YES,4,30000000,2,5,487,587,498,330,130,21,5,2,3,1SAAT,3,1,4,1,2,2,4,NO,NO,NO,3,5,YES,5,YES,1,0,NO,YES,5,3,5,NO,YES,YES,NO,YES,NO,3,YES,3,Isliyor
476,Factory477,Turkiye,K.maras,12.05.2020,1967,2,3578,4,288000,5,6000,9,165000,10,11,670000,YES,2,46,24,1,8,YES,YES,YES,5,10000000,3,4,478,578,390,290,90,50,6,2,2,1SAAT,2,2,5,2,1,1,5,YES,NO,YES,4,4,YES,5,YES,3,2,NO,YES,3,3,4,NO,NO,NO,NO,YES,NO,3,YES,3,Isliyor
477,Factory478,Turkiye,Tokat,12.05.2020,1987,4,1010,2,356000,3,15000,8,340000,10,9,300000,YES,2,15,31,12,5,YES,YES,YES,1,15000000,5,2,467,567,312,200,0,70,4,2,4,45DK,1,4,3,2,5,2,3,NO,NO,NO,4,3,YES,3,NO,4,1,YES,NO,3,4,5,NO,NO,NO,NO,YES,NO,4,YES,4,Isliyor
478,Factory479,Turkiye,Samsun,12.05.2020,1967,2,2657,1,476000,4,19800,8,330000,10,21,200000,YES,1,38,23,14,4,YES,YES,NO,2,18000000,4,3,478,578,320,210,10,30,3,2,5,45DK,2,1,2,1,3,3,2,NO,NO,NO,5,4,YES,2,NO,5,0,YES,NO,4,5,2,NO,NO,NO,NO,NO,YES,5,YES,5,Isliyor
479,Factory480,Turkiye,Zonguldak,12.05.2020,1987,3,2978,1,610000,3,12600,10,230000,12,16,150000,YES,3,21,26,5,3,YES,YES,NO,3,12000000,2,1,498,598,400,300,100,0,5,2,5,45DK,4,3,3,2,4,2,3,YES,NO,YES,3,5,YES,1,NO,3,0,YES,NO,5,5,3,NO,NO,NO,NO,NO,YES,5,NO,5,Isliyor
480,Factory481,Turkiye,Adana,12.05.2020,2006,2,3224,4,240000,5,13400,9,540000,14,4,150000,YES,3,24,37,6,6,YES,YES,YES,6,11000000,5,5,487,587,350,250,50,20,6,2,4,1SAAT,1,2,4,3,2,3,4,NO,NO,NO,2,4,YES,4,YES,1,0,YES,NO,5,2,4,NO,NO,NO,NO,NO,NO,2,YES,2,Isliyor
481,Factory482,Turkiye,Istanbul,12.05.2020,2009,3,3548,5,298000,4,17545,7,570000,15,3,450000,YES,3,16,5,7,7,YES,YES,YES,5,24000000,4,3,455,555,368,240,40,10,3,2,5,1SAAT,3,1,3,2,4,2,3,YES,NO,NO,3,3,YES,5,YES,3,0,YES,NO,2,3,4,NO,NO,NO,NO,NO,YES,3,YES,3,Isliyor
482,Factory483,Turkiye,Giresun,12.05.2020,1987,5,2002,3,398000,2,12300,7,240000,16,5,420000,YES,3,11,9,9,9,YES,YES,YES,8,12300000,3,1,432,532,370,270,70,42,2,3,4,1SAAT,2,2,2,1,3,3,2,YES,NO,NO,5,5,YES,1,YES,4,3,YES,NO,3,4,5,NO,NO,NO,NO,YES,YES,4,YES,4,Isliyor
483,Factory484,Turkiye,Sakarya,12.05.2020,1986,4,3312,2,488000,3,12100,8,160000,17,11,400000,YES,3,12,11,8,5,YES,YES,YES,7,12400000,5,3,465,565,359,250,50,38,4,3,6,45DK,1,3,3,2,2,3,3,NO,NO,NO,4,2,YES,5,YES,5,4,YES,YES,4,5,4,NO,NO,NO,NO,NO,YES,5,NO,5,Isliyor
484,Factory485,Turkiye,Ankara,12.05.2020,1999,3,1089,1,237000,4,3500,8,115000,10,12,340000,YES,2,14,21,5,4,YES,YES,YES,4,20000000,4,4,487,587,355,252,52,12,5,3,5,45DK,2,1,4,3,5,1,4,NO,NO,YES,2,1,YES,2,YES,3,2,YES,NO,5,4,3,NO,NO,NO,NO,YES,NO,4,NO,4,Isliyor
485,Factory486,Turkiye,Trabzon,12.05.2020,2015,3,3001,5,360000,1,5000,9,125000,9,7,390000,YES,1,13,23,68,6,YES,YES,YES,5,20000000,2,5,467,567,342,263,63,33,7,3,4,1SAAT,3,2,3,2,4,2,3,NO,NO,NO,3,1,YES,1,YES,2,3,YES,YES,4,5,4,NO,NO,NO,NO,NO,NO,5,NO,5,Isliyor
486,Factory487,Turkiye,Rize,12.05.2020,2012,5,2678,4,420000,5,5500,10,390000,11,14,510000,YES,3,15,26,6,4,YES,YES,YES,1,30000000,3,1,487,587,388,233,33,28,8,3,3,1SAAT,1,2,2,1,3,5,2,NO,NO,YES,5,1,NO,5,YES,5,4,YES,YES,5,4,5,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
487,Factory488,Turkiye,Gumushane,12.05.2020,2009,4,2780,3,310000,4,4500,8,376000,15,16,800000,YES,2,18,28,15,6,YES,YES,YES,2,10000000,4,3,498,598,410,320,120,15,9,3,6,1SAAT,2,1,3,2,5,3,3,NO,NO,NO,4,1,YES,3,YES,1,1,YES,NO,4,5,4,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
488,Factory489,Turkiye,Malatya,12.05.2020,1980,3,2657,2,189000,3,12320,7,346000,14,17,300000,YES,3,17,32,14,7,YES,YES,YES,5,15000000,5,5,512,612,415,325,125,22,3,3,5,1SAAT,2,0,4,5,4,4,4,NO,NO,NO,2,2,YES,2,YES,3,1,NO,NO,5,3,5,NO,NO,NO,NO,YES,NO,3,YES,3,Isliyor
489,Factory490,Turkiye,Hatay,12.05.2020,1978,5,2569,4,348700,5,13450,8,288000,16,9,340000,YES,3,14,12,11,5,YES,YES,YES,6,18000000,2,2,523,623,420,330,130,42,4,3,4,45DK,1,1,4,3,3,5,4,YES,NO,YES,2,3,YES,4,YES,4,1,YES,NO,3,3,4,NO,NO,NO,NO,YES,NO,3,NO,3,Isliyor
490,Factory491,Turkiye,Kocaeli,12.05.2020,1989,3,2412,3,465000,5,12000,10,356000,14,10,420000,YES,3,13,23,10,4,YES,YES,NO,4,12000000,3,3,567,667,408,302,102,50,5,3,3,45DK,0,2,5,4,4,1,5,NO,NO,NO,3,4,NO,5,YES,5,1,YES,NO,3,4,5,NO,NO,NO,NO,NO,NO,4,NO,4,Isliyor
491,Factory492,Turkiye,K.maras,12.05.2020,1969,4,3245,2,276000,5,14000,8,476000,14,10,520000,YES,3,15,25,12,6,YES,YES,NO,2,11000000,5,2,598,698,356,264,64,38,6,3,4,45DK,1,1,3,5,5,2,3,YES,NO,YES,4,0,NO,1,NO,2,1,YES,YES,4,5,2,NO,NO,NO,NO,NO,NO,5,NO,5,Isliyor
492,Factory493,Turkiye,Tokat,12.05.2020,2000,2,2156,3,165000,5,11000,8,610000,14,9,345000,YES,3,14,27,1,7,YES,YES,YES,5,24000000,4,4,511,611,498,330,130,21,7,3,5,1SAAT,2,2,2,1,3,3,2,YES,NO,YES,3,4,NO,0,YES,1,2,NO,YES,5,4,3,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
493,Factory494,Turkiye,Samsun,12.05.2020,1988,2,2089,4,340000,5,17000,8,240000,16,12,430000,YES,3,16,32,8,3,NO,YES,NO,1,12300000,2,5,523,623,390,290,90,50,3,3,6,1SAAT,1,1,3,2,2,1,3,NO,NO,NO,2,0,YES,5,YES,5,0,NO,NO,4,5,4,NO,NO,NO,NO,YES,YES,5,YES,5,Isliyor
494,Factory495,Turkiye,Zonguldak,12.05.2020,1999,4,2004,5,330000,5,12000,8,298000,15,13,700000,YES,3,17,23,9,4,NO,YES,NO,1,12400000,3,1,543,643,312,200,0,70,2,3,3,1SAAT,2,2,5,3,3,2,5,NO,NO,NO,3,2,YES,4,YES,4,0,NO,NO,5,4,5,NO,NO,NO,NO,NO,YES,4,YES,4,Isliyor
495,Factory496,Turkiye,Adana,12.05.2020,1996,5,2009,1,230000,4,9000,8,398000,12,14,670000,YES,3,18,34,6,6,YES,YES,YES,1,20000000,5,3,543,643,320,210,10,30,1,3,2,45DK,1,1,4,1,4,2,4,NO,NO,NO,4,3,YES,5,NO,3,0,YES,NO,4,5,4,NO,NO,NO,NO,YES,NO,5,YES,5,Isliyor
496,Factory497,Turkiye,Istanbul,12.05.2020,1995,3,3125,3,540000,3,6000,8,488000,13,8,300000,YES,3,19,21,20,8,YES,YES,YES,0,20000000,4,2,567,667,400,300,100,0,5,2,3,45DK,2,2,2,2,3,2,2,NO,NO,NO,4,0,NO,5,NO,2,0,YES,NO,5,4,3,NO,NO,NO,NO,NO,YES,4,YES,4,Isliyor
497,Factory498,Turkiye,Giresun,12.05.2020,1993,4,3689,5,570000,3,15000,8,237000,14,11,200000,YES,3,15,20,25,9,YES,YES,YES,3,30000000,2,1,587,687,350,250,50,20,6,2,4,1SAAT,1,2,3,2,2,2,3,YES,NO,NO,5,4,NO,5,NO,1,2,YES,NO,4,5,4,NO,NO,NO,NO,YES,YES,5,YES,5,Isliyor
498,Factory499,Turkiye,Sakarya,12.05.2020,1987,2,3994,2,240000,3,19800,8,360000,15,6,150000,YES,3,14,21,13,5,YES,YES,YES,6,10000000,3,4,569,669,368,240,40,10,8,2,3,1SAAT,2,2,5,2,3,1,5,YES,NO,NO,3,0,NO,5,YES,5,3,NO,YES,5,4,5,NO,NO,NO,NO,NO,YES,4,YES,4,Isliyor
499,Factory500,Turkiye,Ankara,12.05.2020,1995,3,4015,4,160000,2,12600,8,420000,16,11,150000,YES,3,13,12,14,6,YES,YES,YES,5,15000000,1,5,568,668,370,270,70,42,4,2,2,1SAAT,2,2,4,2,4,2,4,NO,NO,YES,2,3,YES,5,YES,3,2,NO,YES,4,4,5,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
500,Factory501,Turkiye,Trabzon,12.05.2020,1987,4,1082,5,115000,3,13400,8,310000,12,10,450000,YES,3,12,23,24,3,YES,YES,YES,4,18000000,4,3,455,555,359,250,50,38,5,2,2,1SAAT,2,1,2,1,3,3,2,NO,NO,NO,3,0,YES,5,YES,4,1,NO,NO,4,4,5,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
501,Factory502,Turkiye,Rize,12.05.2020,1977,2,3659,3,125000,3,17545,8,189000,18,12,420000,YES,3,10,26,26,4,YES,YES,YES,0,12000000,5,1,467,567,355,252,52,12,3,2,4,45DK,2,2,3,2,2,3,2,NO,NO,YES,5,1,YES,5,NO,2,3,YES,YES,4,4,5,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
502,Factory503,Turkiye,Gumushane,12.05.2020,1983,4,4203,2,390000,3,12300,8,348700,10,14,400000,YES,3,13,4,5,6,YES,YES,YES,2,11000000,2,4,487,587,342,263,63,33,7,1,5,45DK,1,3,4,3,3,2,3,NO,NO,YES,4,0,YES,5,NO,4,1,YES,NO,4,4,5,NO,NO,YES,YES,NO,NO,4,YES,4,Isliyor
503,Factory504,Turkiye,Malatya,12.05.2020,1984,5,2658,1,376000,5,12100,8,465000,11,15,340000,YES,3,16,7,3,9,YES,YES,YES,8,24000000,3,0,478,578,388,233,33,28,6,1,3,45DK,2,3,3,3,4,3,4,NO,NO,NO,2,3,YES,5,NO,3,4,YES,NO,4,5,5,NO,NO,NO,NO,YES,NO,5,NO,5,Isliyor
504,Factory505,Turkiye,Hatay,12.05.2020,1989,4,2698,5,346000,4,3500,8,276000,12,9,390000,YES,3,17,6,6,3,YES,YES,YES,6,12300000,4,3,467,567,410,320,120,15,5,1,2,1SAAT,3,2,5,2,4,2,3,YES,NO,NO,3,0,YES,5,YES,2,5,YES,NO,5,5,5,NO,NO,NO,NO,YES,NO,5,YES,5,Isliyor
505,Factory506,Turkiye,Kocaeli,12.05.2020,1990,3,2689,3,288000,1,5000,8,165000,13,7,510000,YES,3,22,9,8,5,YES,YES,YES,3,12400000,3,2,478,578,415,325,125,22,3,2,4,45DK,3,1,3,1,5,3,2,YES,NO,NO,5,0,YES,5,YES,5,0,YES,NO,5,5,5,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
506,Factory507,Turkiye,K.maras,12.05.2020,1965,2,3001,1,356000,5,5500,8,340000,14,10,800000,YES,3,26,8,9,6,YES,YES,YES,5,20000000,2,5,498,598,420,330,130,42,8,3,5,45DK,2,3,1,2,3,3,3,NO,NO,NO,4,0,YES,3,YES,4,0,YES,YES,5,5,5,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
507,Factory508,Turkiye,Tokat,12.05.2020,1967,5,3016,5,476000,3,4500,8,330000,15,12,300000,YES,3,23,12,17,4,YES,YES,YES,4,20000000,5,0,487,587,408,302,102,50,7,2,2,45DK,1,2,3,3,2,1,4,YES,NO,YES,2,0,YES,4,YES,3,0,YES,NO,5,5,3,NO,NO,NO,NO,NO,NO,5,NO,5,Isliyor
508,Factory509,Turkiye,Samsun,12.05.2020,1987,2,3259,3,610000,4,12320,8,230000,15,14,340000,YES,2,24,11,15,3,YES,YES,YES,2,30000000,4,5,455,555,356,264,64,38,5,1,3,45DK,2,1,4,1,3,3,4,NO,NO,YES,3,4,YES,5,YES,5,0,YES,YES,5,3,3,NO,NO,NO,NO,YES,YES,3,NO,3,Isliyor
509,Factory510,Turkiye,Zonguldak,12.05.2020,1977,2,1658,4,240000,3,13450,9,540000,15,9,420000,YES,2,25,21,16,7,YES,YES,YES,4,10000000,5,3,432,532,498,330,130,21,4,2,4,1SAAT,3,2,5,1,5,3,5,NO,NO,NO,4,3,YES,5,YES,4,0,YES,NO,3,2,3,NO,NO,NO,NO,YES,YES,2,NO,2,Isliyor
510,Factory511,Turkiye,Adana,12.05.2020,1976,4,2258,2,298000,5,12000,10,570000,14,15,520000,YES,3,29,23,14,9,YES,YES,YES,2,15000000,1,0,465,565,390,290,90,50,3,3,2,1SAAT,1,2,3,4,4,2,3,NO,NO,NO,3,2,NO,5,YES,3,0,YES,NO,2,5,4,NO,NO,YES,NO,YES,NO,5,YES,5,Isliyor
511,Factory512,Turkiye,Istanbul,12.05.2020,1987,2,3456,1,398000,4,14000,10,240000,12,11,345000,YES,3,21,26,2,5,YES,YES,YES,5,18000000,3,2,487,587,312,200,0,70,8,2,1,1SAAT,1,2,1,3,2,1,2,NO,NO,NO,5,3,YES,5,YES,4,0,YES,YES,3,4,5,NO,NO,NO,NO,YES,YES,4,YES,4,Isliyor
512,Factory513,Turkiye,Giresun,12.05.2020,1967,3,2700,0,488000,2,11000,8,160000,12,9,430000,YES,3,14,7,3,4,NO,YES,YES,3,12000000,2,0,467,567,320,210,10,30,5,1,1,1SAAT,4,2,3,2,3,2,3,YES,NO,NO,3,1,YES,2,YES,5,0,NO,NO,4,5,4,NO,NO,YES,NO,NO,YES,5,YES,5,Isliyor
513,Factory514,Turkiye,Sakarya,12.05.2020,1999,2,2010,2,237000,3,17000,8,115000,13,21,700000,YES,3,46,12,5,6,NO,YES,YES,7,11000000,4,3,487,587,400,300,100,0,6,2,2,1SAAT,3,1,4,1,5,2,5,NO,NO,NO,1,0,YES,3,YES,3,5,YES,YES,5,4,5,NO,NO,NO,NO,NO,YES,4,NO,4,Isliyor
514,Factory515,Turkiye,Ankara,12.05.2020,2001,3,4002,4,360000,4,12000,9,125000,10,16,670000,YES,3,15,17,9,8,YES,YES,YES,3,24000000,5,1,498,598,350,250,50,20,3,3,3,1SAAT,2,2,5,2,4,2,4,YES,NO,YES,3,4,NO,4,YES,2,3,YES,YES,4,5,4,NO,NO,NO,NO,NO,NO,5,NO,5,Isliyor
515,Factory516,Turkiye,Trabzon,12.05.2020,2002,5,3578,5,420000,1,9000,8,390000,10,4,300000,YES,3,38,26,8,4,YES,YES,YES,3,12300000,5,0,512,612,368,240,40,10,2,2,4,1SAAT,1,1,3,2,2,2,2,NO,NO,YES,4,2,NO,1,NO,3,1,YES,NO,3,3,5,NO,NO,NO,NO,NO,NO,3,NO,3,Isliyor
516,Factory517,Turkiye,Rize,12.05.2020,1963,4,1010,4,310000,5,6000,8,376000,11,3,200000,YES,3,21,12,6,6,YES,YES,YES,3,12400000,4,4,523,623,370,270,70,42,9,1,2,1SAAT,2,2,2,2,2,3,3,NO,NO,NO,5,1,NO,2,YES,4,2,NO,NO,4,3,3,NO,NO,NO,NO,YES,NO,3,YES,3,Isliyor
517,Factory518,Turkiye,Gumushane,12.05.2020,1956,3,2657,3,189000,4,15000,8,346000,11,5,150000,YES,3,24,34,2,3,YES,YES,YES,2,20000000,5,0,567,667,359,250,50,38,8,2,3,1SAAT,2,3,5,2,3,2,5,YES,NO,YES,3,0,YES,3,YES,3,0,NO,NO,5,4,3,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
518,Factory519,Turkiye,Malatya,12.05.2020,1967,3,2978,2,348700,3,19800,8,288000,11,11,150000,YES,1,16,28,1,8,YES,YES,YES,1,20000000,5,5,598,698,355,252,52,12,5,3,4,1SAAT,2,2,1,1,4,3,4,NO,NO,NO,1,4,YES,4,YES,2,0,NO,NO,2,5,3,NO,NO,NO,NO,YES,NO,5,YES,5,Isliyor
519,Factory520,Turkiye,Hatay,12.05.2020,1988,5,3224,5,465000,5,12600,8,356000,11,12,450000,YES,3,11,16,16,5,YES,YES,YES,4,30000000,5,2,511,611,342,263,63,33,3,2,2,1SAAT,2,1,3,2,3,2,2,YES,NO,NO,3,3,YES,4,NO,3,0,YES,NO,3,5,3,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
520,Factory521,Turkiye,Kocaeli,12.05.2020,1977,4,3548,2,276000,5,13400,8,476000,15,7,420000,YES,3,12,17,5,3,YES,YES,YES,5,10000000,5,1,523,623,388,233,33,28,2,3,2,1SAAT,1,2,4,1,2,3,3,YES,NO,NO,4,2,NO,4,NO,4,0,YES,NO,4,2,4,NO,NO,NO,NO,NO,NO,2,YES,2,Isliyor
521,Factory522,Turkiye,K.maras,12.05.2020,1999,3,2002,2,165000,5,17545,8,610000,14,14,400000,YES,3,14,28,4,4,YES,YES,YES,2,15000000,2,0,543,643,410,320,120,15,7,2,2,1SAAT,2,4,5,2,3,2,4,NO,NO,NO,5,1,NO,4,NO,3,0,YES,YES,4,3,5,NO,NO,NO,NO,NO,NO,3,YES,3,Isliyor
522,Factory523,Turkiye,Tokat,12.05.2020,2000,5,3312,4,340000,5,12300,8,240000,15,16,340000,YES,3,13,29,3,8,YES,YES,YES,3,18000000,4,3,543,643,415,325,125,22,5,3,2,1SAAT,1,1,2,3,4,3,3,NO,NO,YES,3,0,NO,4,YES,2,0,NO,NO,3,4,4,NO,NO,NO,NO,YES,NO,4,YES,4,Isliyor
523,Factory524,Turkiye,Samsun,12.05.2020,2001,3,1089,1,330000,5,12100,8,298000,19,17,390000,YES,3,15,45,6,5,YES,YES,NO,6,12000000,2,4,567,667,420,330,130,42,4,2,2,1SAAT,2,3,1,2,4,2,5,NO,NO,NO,2,5,YES,5,YES,3,0,NO,YES,4,5,5,NO,NO,NO,NO,YES,YES,5,YES,5,Isliyor
524,Factory525,Turkiye,Zonguldak,12.05.2020,2002,4,3001,0,230000,5,3500,8,398000,20,9,510000,YES,3,18,33,10,4,YES,YES,NO,4,11000000,4,0,587,687,408,302,102,50,3,3,2,1SAAT,3,2,5,1,5,3,3,NO,NO,YES,5,3,YES,3,YES,4,0,NO,YES,5,4,4,NO,NO,NO,NO,NO,YES,4,YES,4,Isliyor
525,Factory526,Turkiye,Adana,12.05.2020,1987,2,2678,2,540000,4,5000,9,488000,14,10,800000,YES,2,17,26,11,3,YES,YES,YES,5,24000000,3,5,569,669,356,264,64,38,8,2,3,1SAAT,2,1,4,2,3,1,1,NO,NO,NO,1,2,YES,4,NO,4,0,YES,NO,4,5,2,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
526,Factory527,Turkiye,Istanbul,12.05.2020,1988,3,2780,3,570000,3,5500,8,237000,10,10,300000,YES,2,14,32,5,6,YES,YES,YES,1,12300000,4,3,568,668,498,330,130,21,9,2,2,1SAAT,1,2,3,4,2,3,3,NO,NO,NO,3,1,YES,5,NO,5,0,YES,NO,3,4,3,NO,NO,NO,NO,NO,YES,4,YES,4,Isliyor
527,Factory528,Turkiye,Giresun,12.05.2020,1999,4,2657,5,240000,3,4500,8,360000,11,9,340000,YES,1,13,15,6,7,YES,YES,YES,2,12400000,3,1,455,555,390,290,90,50,4,2,4,1SAAT,2,3,2,1,3,2,4,YES,NO,YES,4,0,YES,4,NO,3,0,YES,NO,3,5,4,NO,NO,NO,NO,YES,YES,5,NO,5,Isliyor
528,Factory529,Turkiye,Sakarya,12.05.2020,1976,5,2569,4,160000,3,12320,10,420000,13,12,420000,YES,3,15,17,1,9,YES,YES,YES,3,20000000,4,2,467,567,312,200,0,70,1,2,5,1SAAT,4,1,1,3,5,1,5,NO,NO,NO,5,5,YES,5,YES,2,1,YES,NO,4,3,5,NO,NO,NO,NO,NO,YES,3,YES,3,Isliyor
529,Factory530,Turkiye,Ankara,12.05.2020,2003,3,2412,1,115000,2,13450,9,310000,14,13,520000,YES,3,14,18,12,5,YES,YES,YES,6,20000000,4,4,487,587,320,210,10,30,4,3,5,1SAAT,1,2,5,2,4,2,3,YES,NO,NO,2,4,YES,4,YES,3,2,YES,YES,5,3,5,NO,NO,NO,NO,YES,NO,3,YES,3,Isliyor
530,Factory531,Turkiye,Trabzon,12.05.2020,1967,4,3245,3,125000,3,12000,7,189000,8,14,345000,YES,3,16,14,14,4,YES,YES,YES,5,30000000,4,5,478,578,400,300,100,0,6,3,4,1SAAT,3,2,3,1,2,3,1,YES,NO,NO,1,3,YES,5,YES,5,1,YES,YES,4,4,5,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
531,Factory532,Turkiye,Rize,12.05.2020,2005,2,2156,5,390000,3,14000,7,348700,12,8,430000,YES,3,17,16,5,6,NO,YES,YES,8,10000000,3,0,467,567,350,250,50,20,7,3,5,1SAAT,2,1,4,2,3,1,3,NO,NO,NO,5,1,YES,3,YES,4,2,YES,NO,3,5,5,NO,NO,NO,NO,YES,NO,5,NO,5,Isliyor
532,Factory533,Turkiye,Gumushane,12.05.2020,2010,3,2089,4,376000,3,11000,8,465000,11,11,700000,YES,3,18,27,6,7,NO,YES,YES,7,15000000,3,3,478,578,368,240,40,10,4,3,4,1SAAT,1,0,2,3,5,2,4,NO,NO,YES,4,0,YES,4,YES,2,3,YES,NO,4,4,5,NO,NO,NO,NO,NO,NO,4,NO,4,Isliyor
